X,Y,Society Name,Machines,Site Name,Full Addre,Site Addre,Town,Country,Territoria,addrtype,addrlocat
171.2445029,-44.1038337,Geraldine Town & Country Club Inc,5,Geraldine Town & Country Club Inc,190 Talbot Street Geraldine,190 Talbot Street,Geraldine,NZ,Timaru District,street_address,ROOFTOP
178.0218727,-38.6610312,Gisborne 2nd NZEF Association Inc,10,Gisborne 2nd NZEF Association,333 Palmerston North Road Gisborne,333 Palmerston North Road,Gisborne,NZ,Gisborne District,street_address,ROOFTOP
178.0251988,-38.6689126,Gisborne Club Inc,2,Gisborne Club,112 Lowe Street Gisborne,112 Lowe Street,Gisborne,NZ,Gisborne District,street_address,ROOFTOP
178.0210215,-38.6659047,Gisborne Cosmopolitan Club Inc,18,Gisborne Cosmopolitan Club Inc,190 Derby Street Gisborne,190 Derby Street,Gisborne,NZ,Gisborne District,street_address,ROOFTOP
178.024079,-38.6662828,Gisborne RSA Memorial Club Inc,17,Gisborne RSA Club,Cnr Childers Road & Bright Street Gisborne,Cnr Childers Road & Bright Street,Gisborne,NZ,Gisborne District,route,GEOMETRIC_CENTER
178.0304352,-38.6694949,Gisborne Tatapouri Sports Fishing Club Inc,8,Gisborne Tatapouri Sports Fishing Club,"No. 2 Wharf Shed, The Esplanade Gisborne","No. 2 Wharf Shed, The Esplanade",Gisborne,NZ,Gisborne District,route,GEOMETRIC_CENTER
175.0327384,-37.6091193,Glen Afton Citizens & Sports Club Inc,2,Glen Afton Citizens & Sports Club,Ingles Road Huntly,Ingles Road,Huntly,NZ,Waikato District,route,GEOMETRIC_CENTER
174.6471354,-36.9111167,Glen Eden Bowling Club Inc,7,Glen Eden Bowling Club,25A Glendale Road Glen Eden,25A Glendale Road,Glen Eden,NZ,Auckland City,street_address,ROOFTOP
174.6492182,-36.9154685,Glen Eden RSA (Inc),12,Glen Eden RSA,"Glendale Road, Glen Eden","Glendale Road,",Glen Eden,NZ,Auckland City,route,GEOMETRIC_CENTER
174.7231463,-36.7753851,Glenfield Bowling Club Inc,3,Glenfield Bowling Club,3 Ross Avenue Glenfield,3 Ross Avenue,Glenfield,NZ,North Shore City,street_address,ROOFTOP
175.3034601,-37.8113415,Glenview Club Inc,12,Glenview Club,Peacockes Road Hamilton,Peacockes Road,Hamilton,NZ,Hamilton City,route,GEOMETRIC_CENTER
174.7529884,-36.848157,Gold Times Foundation,18,Birdcage Tavern,Cnr Victoria Street & Franklin Road Auckland,Cnr Victoria Street & Franklin Road,Auckland,NZ,Auckland City,intersection,APPROXIMATE
174.7566173,-36.8579129,Gold Times Foundation,18,Camerons Tavern,"373 Karangahape Rd, Newton Auckland","373 Karangahape Rd, Newton",Auckland,NZ,Auckland City,street_address,ROOFTOP
174.7607092,-36.8638584,Gold Times Foundation,18,Edinburgh Castle Hotel,215 Symonds Street Auckland,215 Symonds Street,Auckland,NZ,Auckland City,street_address,ROOFTOP
174.7923582,-36.9217695,Gold Times Foundation,18,Palace Casino,75 Victoria Street Auckland,75 Victoria Street,Auckland,NZ,Auckland City,street_address,ROOFTOP
174.7633315,-36.8484597,Gold Times Foundation,18,Strand Tavern,Cnr Stanley & Gittos Street Auckland,Cnr Stanley & Gittos Street,Auckland,NZ,Auckland City,locality,APPROXIMATE
174.844274,-36.9450598,Gold Times Foundation,18,Cazino Bar,435 Great South Road Otahuhu,435 Great South Road,Otahuhu,NZ,Manukau City,street_address,ROOFTOP
174.844274,-36.9450598,Gold Times Foundation,18,Goldies Casino,"1st Floor, 435 Great South Road Otahuhu","1st Floor, 435 Great South Road",Otahuhu,NZ,Manukau City,subpremise,ROOFTOP
174.885971,-40.900557,Gold Times Foundation,1,STORAGE,,,,NZ,,country,APPROXIMATE
175.009734,-40.9147285,Golden Coast Chartered Club Inc,7,Golden Coast Chartered Club,25 Hinemoa Street Paraparaumu,25 Hinemoa Street,Paraparaumu,NZ,Kapiti Coast District,street_address,ROOFTOP
175.0314355,-39.9470827,Gonville Bowling Club Inc,1,Gonville Bowling Club,15 Caius Avenue Wanganui,15 Caius Avenue,Wanganui,NZ,Wanganui District,street_address,ROOFTOP
168.9455072,-46.1020845,Gore District Memorial RSA Incorporated,18,Gore District Memorial RSA Inc,6 Ashton Street Gore,6 Ashton Street,Gore,NZ,Gore District,street_address,RANGE_INTERPOLATED
168.9438391,-46.1091252,Gore Town & Country Club Inc,18,Gore Town & Country Club,Bury Street Gore,Bury Street,Gore,NZ,Gore District,route,GEOMETRIC_CENTER
168.6040057,-46.3584065,Gorge Road Country Club Inc,3,Gorge Road Country Club,Cnr State Highway 92 & Morton Mains Road Invercargill,Cnr State Highway 92 & Morton Mains Road,Invercargill,NZ,Invercargill City,route,GEOMETRIC_CENTER
